"Id","Country","Year","disaster","deaths"
156,"Africa",1910,"earthquakes",1.2
157,"Africa",1910,"floods",0
158,"Africa",1910,"fog",0
159,"Africa",1910,"glacialLake",0
160,"Africa",1910,"landslides",0
161,"Africa",1910,"massMovements",0
162,"Africa",1910,"storms",0
163,"Africa",1910,"temperatures",0
164,"Africa",1910,"volcanic",0
165,"Africa",1910,"wildfires",0
166,"Africa",1920,"drought",2400
167,"Africa",1920,"earthquakes",1.2
168,"Africa",1920,"floods",300
169,"Africa",1920,"fog",0
170,"Africa",1920,"glacialLake",0
171,"Africa",1920,"landslides",0
172,"Africa",1920,"massMovements",0
173,"Africa",1920,"storms",0
174,"Africa",1920,"temperatures",0
175,"Africa",1920,"volcanic",0
176,"Africa",1920,"wildfires",0
177,"Africa",1930,"drought",0
178,"Africa",1930,"earthquakes",2.2
179,"Africa",1930,"floods",0
180,"Africa",1930,"fog",0
181,"Africa",1930,"glacialLake",0
182,"Africa",1930,"landslides",0
183,"Africa",1930,"massMovements",0
184,"Africa",1930,"storms",0
185,"Africa",1930,"temperatures",0
186,"Africa",1930,"volcanic",0
187,"Africa",1930,"wildfires",0
188,"Africa",1940,"drought",5000
189,"Africa",1940,"earthquakes",27.6
190,"Africa",1940,"floods",0
191,"Africa",1940,"fog",0
192,"Africa",1940,"glacialLake",0
193,"Africa",1940,"landslides",0
194,"Africa",1940,"massMovements",0
195,"Africa",1940,"storms",16.5
196,"Africa",1940,"temperatures",0
197,"Africa",1940,"volcanic",0
198,"Africa",1940,"wildfires",0
199,"Africa",1950,"drought",0
200,"Africa",1950,"earthquakes",128.3
201,"Africa",1950,"floods",23.7
202,"Africa",1950,"fog",0
203,"Africa",1950,"glacialLake",0
204,"Africa",1950,"landslides",0
205,"Africa",1950,"massMovements",0
206,"Africa",1950,"storms",64.2
207,"Africa",1950,"temperatures",0
208,"Africa",1950,"volcanic",0
209,"Africa",1950,"wildfires",0
210,"Africa",1960,"drought",205
211,"Africa",1960,"earthquakes",1257.7
212,"Africa",1960,"floods",134.3
213,"Africa",1960,"fog",0
214,"Africa",1960,"glacialLake",0
215,"Africa",1960,"landslides",30.8
216,"Africa",1960,"massMovements",0
217,"Africa",1960,"storms",15.2
218,"Africa",1960,"temperatures",0
219,"Africa",1960,"volcanic",0
220,"Africa",1960,"wildfires",0
221,"Africa",1970,"drought",11900
222,"Africa",1970,"earthquakes",0
223,"Africa",1970,"floods",132.8
224,"Africa",1970,"fog",0
225,"Africa",1970,"glacialLake",0
226,"Africa",1970,"landslides",0
227,"Africa",1970,"massMovements",0
228,"Africa",1970,"storms",41.5
229,"Africa",1970,"temperatures",0
230,"Africa",1970,"volcanic",21.2
231,"Africa",1970,"wildfires",0.2
232,"Africa",1980,"drought",55495.4
233,"Africa",1980,"earthquakes",313.8
234,"Africa",1980,"floods",165
235,"Africa",1980,"fog",0
236,"Africa",1980,"glacialLake",0
237,"Africa",1980,"landslides",1.1
238,"Africa",1980,"massMovements",7.7
239,"Africa",1980,"storms",108
