"Country","Year","disaster","economic_damages","deaths"
"Afghanistan",2020,"earthquakes",0,354.66666
"Afghanistan",2020,"floods",0,310.66666
"Afghanistan",2020,"fog",0,0
"Afghanistan",2020,"glacialLake",0,0
"Afghanistan",2020,"landslides",0,20.333334
"Afghanistan",2020,"massMovements",0,0
"Afghanistan",2020,"storms",0,4.3333335
"Afghanistan",2020,"temperatures",0,0
"Afghanistan",2020,"volcanic",0,0
"Afghanistan",2020,"wildfires",0,0
"Africa",1900,"drought",0,1100
"Africa",1900,"earthquakes",0,10
"Africa",1900,"floods",0,0
"Africa",1900,"fog",0,0
"Africa",1900,"glacialLake",0,0
"Africa",1900,"landslides",0,0
"Africa",1900,"massMovements",0,0
"Africa",1900,"storms",0,0
"Africa",1900,"temperatures",0,0
"Africa",1900,"volcanic",0,1.7
"Africa",1900,"wildfires",0,0
"Africa",1910,"drought",0,8500
"Africa",1910,"earthquakes",0,1.2
"Africa",1910,"floods",0,0
"Africa",1910,"fog",0,0
"Africa",1910,"glacialLake",0,0
"Africa",1910,"landslides",0,0
"Africa",1910,"massMovements",0,0
"Africa",1910,"storms",0,0
"Africa",1910,"temperatures",0,0
"Africa",1910,"volcanic",0,0
"Africa",1910,"wildfires",0,0
"Africa",1920,"drought",0,2400
"Africa",1920,"earthquakes",0,1.2
"Africa",1920,"floods",0,300
"Africa",1920,"fog",0,0
"Africa",1920,"glacialLake",0,0
"Africa",1920,"landslides",0,0
"Africa",1920,"massMovements",0,0
"Africa",1920,"storms",0,0
"Africa",1920,"temperatures",0,0
"Africa",1920,"volcanic",0,0
"Africa",1920,"wildfires",0,0
"Africa",1930,"drought",0,0
"Africa",1930,"earthquakes",0,2.2
"Africa",1930,"floods",0,0
"Africa",1930,"fog",0,0
"Africa",1930,"glacialLake",0,0
"Africa",1930,"landslides",0,0
"Africa",1930,"massMovements",0,0
"Africa",1930,"storms",0,0
"Africa",1930,"temperatures",0,0
"Africa",1930,"volcanic",0,0
"Africa",1930,"wildfires",0,0
"Africa",1940,"drought",0,5000
"Africa",1940,"earthquakes",0,27.6
"Africa",1940,"floods",0,0
"Africa",1940,"fog",0,0
"Africa",1940,"glacialLake",0,0
"Africa",1940,"landslides",0,0
"Africa",1940,"massMovements",0,0
"Africa",1940,"storms",0,16.5
"Africa",1940,"temperatures",0,0
"Africa",1940,"volcanic",0,0
"Africa",1940,"wildfires",0,0
"Africa",1950,"drought",0,0
"Africa",1950,"earthquakes",6e+05,128.3
"Africa",1950,"floods",0,23.7
"Africa",1950,"fog",0,0
"Africa",1950,"glacialLake",0,0
"Africa",1950,"landslides",0,0
"Africa",1950,"massMovements",0,0
"Africa",1950,"storms",0,64.2
"Africa",1950,"temperatures",0,0
"Africa",1950,"volcanic",0,0
"Africa",1950,"wildfires",0,0
"Africa",1960,"drought",19570000,205
"Africa",1960,"earthquakes",15302000,1257.7
"Africa",1960,"floods",41842000,134.3
"Africa",1960,"fog",0,0
"Africa",1960,"glacialLake",0,0
"Africa",1960,"landslides",0,30.8
"Africa",1960,"massMovements",0,0
"Africa",1960,"storms",1330000,15.2
"Africa",1960,"temperatures",0,0
"Africa",1960,"volcanic",0,0
"Africa",1960,"wildfires",0,0
"Africa",1970,"drought",40720000,11900
"Africa",1970,"earthquakes",0,0
"Africa",1970,"floods",25145000,132.8
"Africa",1970,"fog",0,0
"Africa",1970,"glacialLake",0,0
"Africa",1970,"landslides",0,0
"Africa",1970,"massMovements",0,0
"Africa",1970,"storms",79842000,41.5
"Africa",1970,"temperatures",0,0
"Africa",1970,"volcanic",0,21.2
"Africa",1970,"wildfires",0,0.2
"Africa",1980,"drought",7275400,55495.4
"Africa",1980,"earthquakes",523800000,313.8
"Africa",1980,"floods",88231100,165
"Africa",1980,"fog",0,0
"Africa",1980,"glacialLake",0,0
"Africa",1980,"landslides",0,1.1
"Africa",1980,"massMovements",0,7.7
"Africa",1980,"storms",142221100,108
"Africa",1980,"temperatures",0,0
"Africa",1980,"volcanic",0,178.3
"Africa",1980,"wildfires",0,0.4
"Africa",1990,"drought",224493900,23.9
"Africa",1990,"earthquakes",133092900,79.9
"Africa",1990,"floods",75523200,731.7
"Africa",1990,"fog",0,0
"Africa",1990,"glacialLake",0,0
"Africa",1990,"landslides",0,17.8
"Africa",1990,"massMovements",0,4.7
"Africa",1990,"storms",79931500,113
"Africa",1990,"temperatures",4700000,10.2
"Africa",1990,"volcanic",0,0
"Africa",1990,"wildfires",0,10.6
"Africa",2000,"drought",0,88.8
"Africa",2000,"earthquakes",565700000,333.5
"Africa",2000,"floods",306486000,794.8
"Africa",2000,"fog",0,0
